Category,ID,Latitude,Longitude,Date,DAYMET_Tile,DAYMET_003_prcp
endingPoint,02,42.7092,-71.6966,2017-07-08,11935,10.0
endingPoint,02,42.7092,-71.6966,2017-07-09,11935,7.0
endingPoint,02,42.7092,-71.6966,2017-07-10,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-07-11,11935,2.0
endingPoint,02,42.7092,-71.6966,2017-07-12,11935,4.0
endingPoint,02,42.7092,-71.6966,2017-07-13,11935,6.0
endingPoint,02,42.7092,-71.6966,2017-07-14,11935,3.0
endingPoint,02,42.7092,-71.6966,2017-07-15,11935,3.0
endingPoint,02,42.7092,-71.6966,2017-07-16,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-07-17,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-07-18,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-07-19,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-07-20,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-07-21,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-07-22,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-07-23,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-07-24,11935,3.0
endingPoint,02,42.7092,-71.6966,2017-07-25,11935,31.0
endingPoint,02,42.7092,-71.6966,2017-07-26,11935,1.0
endingPoint,02,42.7092,-71.6966,2017-07-27,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-07-28,11935,2.0
endingPoint,02,42.7092,-71.6966,2017-07-29,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-07-30,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-07-31,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-08-01,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-08-02,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-08-03,11935,24.0
endingPoint,02,42.7092,-71.6966,2017-08-04,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-08-05,11935,12.0
endingPoint,02,42.7092,-71.6966,2017-08-06,11935,17.0
endingPoint,02,42.7092,-71.6966,2017-08-07,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-08-08,11935,3.0
endingPoint,02,42.7092,-71.6966,2017-08-09,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-08-10,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-08-11,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-08-12,11935,3.0
endingPoint,02,42.7092,-71.6966,2017-08-13,11935,1.0
endingPoint,02,42.7092,-71.6966,2017-08-14,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-08-15,11935,2.0
endingPoint,02,42.7092,-71.6966,2017-08-16,11935,1.0
endingPoint,02,42.7092,-71.6966,2017-08-17,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-08-18,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-08-19,11935,23.0
endingPoint,02,42.7092,-71.6966,2017-08-20,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-08-21,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-08-22,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-08-23,11935,20.0
endingPoint,02,42.7092,-71.6966,2017-08-24,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-08-25,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-08-26,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-08-27,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-08-28,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-08-29,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-08-30,11935,1.0
endingPoint,02,42.7092,-71.6966,2017-08-31,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-09-01,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-09-02,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-09-03,11935,1.0
endingPoint,02,42.7092,-71.6966,2017-09-04,11935,28.0
endingPoint,02,42.7092,-71.6966,2017-09-05,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-09-06,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-09-07,11935,59.0
endingPoint,02,42.7092,-71.6966,2017-09-08,11935,1.0
endingPoint,02,42.7092,-71.6966,2017-09-09,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-09-10,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-09-11,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-09-12,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-09-13,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-09-14,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-09-15,11935,2.0
endingPoint,02,42.7092,-71.6966,2017-09-16,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-09-17,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-09-18,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-09-19,11935,1.0
endingPoint,02,42.7092,-71.6966,2017-09-20,11935,1.0
endingPoint,02,42.7092,-71.6966,2017-09-21,11935,1.0
endingPoint,02,42.7092,-71.6966,2017-09-22,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-09-23,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-09-24,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-09-25,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-09-26,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-09-27,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-09-28,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-09-29,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-09-30,11935,1.0
endingPoint,02,42.7092,-71.6966,2017-10-01,11935,3.0
endingPoint,02,42.7092,-71.6966,2017-10-02,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-10-03,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-10-04,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-10-05,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-10-06,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-10-07,11935,1.0
endingPoint,02,42.7092,-71.6966,2017-10-08,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-10-09,11935,12.0
endingPoint,02,42.7092,-71.6966,2017-10-10,11935,21.0
